1,Ваш персонаж женского пола?
2,Ваш персонаж реален?
3,Ваш персонаж человек?
4,Ваш персонаж мужского пола?
5,Ваш персонаж животное?
6,Ваш персонаж из советского мультфильма?
7,У вашего персонажа длинный хвост?
8,Ваш персонаж похож на медведя?
9,Ваш персонаж является родственником или знакомым Кролика?
10,Имя вашего персонажа состоит из двух слов?
11,Ваш персонаж говорит по-русски?
12,Ваш персонаж гражданин США?
13,Ваш персонаж актер?
14,Ваш персонаж певец?
15,Ваш персонаж жив?
16,Ваш персонаж темнокожий?
17,Ваш персонаж умеет танцевать Лунную походку?
18,Ваш персонаж делал пластическую операцию?
19,Ваш персонаж носит усы?
20,Ваш персонаж плохой герой?
21,Вашего персонажа играл Джонни Депп?
22,Ваш персонаж пират?
23,Ваш персонаж украинец?
24,Ваш персонаж знает Вас?
25,Ваш персонаж имеет научную степень?
26,Ваш персонаж был ректором университета?
27,Ваш персонаж педагог?
28,Ваш персонаж написал научную статью?
29,Ваш персонаж любит фантастику?
30,Ваш персонаж пишет произведения в жанре фентези?
31,Ваш персонаж является создателем сайтa Escalibro?
32,Ваш персонаж учится с вами в группе?
